"","Data","Measure_Code","Measure_ItemName_ENG","Measure_SortOrder","Measure_Hierarchy","Measure_ItemNotes_ENG","Period_Code","Period_ItemName_ENG","Period_SortOrder","Period_Hierarchy","Period_ItemNotes_ENG","Transactiontype_Code","Transactiontype_ItemName_ENG","Transactiontype_SortOrder","Transactiontype_Hierarchy","Transactiontype_ItemNotes_ENG","Transactionvalue_Code","Transactionvalue_ItemName_ENG","Transactionvalue_SortOrder","Transactionvalue_Hierarchy","Transactionvalue_ItemNotes_ENG","PartitionKey"
"63",170,"C","Number of transactions","101","0","","202223Aug","August 2022-23","522","202223Q2","","RH","Higher rates residential","120","RE","","A03","Residential £250,001 to 400,000","103","A99","",""
"64",3,"D","Tax due (£ million)","102","0","","202223Aug","August 2022-23","522","202223Q2","","RH","Higher rates residential","120","RE","","A03","Residential £250,001 to 400,000","103","A99","",""
"65",53,"V","Property value taxed (£ million)","103","0","","202223Aug","August 2022-23","522","202223Q2","","RH","Higher rates residential","120","RE","","A03","Residential £250,001 to 400,000","103","A99","",""
"66",8.4,"D","Tax due (£ million)","102","0","","202223Aug","August 2022-23","522","202223Q2","","RE","Residential","100","TO","","A03","Residential £250,001 to 400,000","103","A99","",""
"67",347,"V","Property value taxed (£ million)","103","0","","202223Aug","August 2022-23","522","202223Q2","","RE","Residential","100","TO","","A03","Residential £250,001 to 400,000","103","A99","",""
"68",1100,"C","Number of transactions","101","0","","202223Aug","August 2022-23","522","202223Q2","","RE","Residential","100","TO","","A03","Residential £250,001 to 400,000","103","A99","",""
"69",980,"C","Number of transactions","101","0","","202223Apr","April 2022-23","511","202223Q1","","RE","Residential","100","TO","","A03","Residential £250,001 to 400,000","103","A99","",""
"70",0.9,"D","Tax due (£ million)","102","0","","202223Apr","April 2022-23","511","202223Q1","","MR","Revenue from main rate","121","RH","","A03","Residential £250,001 to 400,000","103","A99","",""
"71",2.1,"D","Tax due (£ million)","102","0","","202223Aug","August 2022-23","522","202223Q2","","HR","Revenue from higher rate","122","RH","","A03","Residential £250,001 to 400,000","103","A99","",""
"72",5.3,"D","Tax due (£ million)","102","0","","202223Aug","August 2022-23","522","202223Q2","","RS","Main rate residential","110","RE","","A03","Residential £250,001 to 400,000","103","A99","",""
"73",294,"V","Property value taxed (£ million)","103","0","","202223Aug","August 2022-23","522","202223Q2","","RS","Main rate residential","110","RE","","A03","Residential £250,001 to 400,000","103","A99","",""
"74",930,"C","Number of transactions","101","0","","202223Aug","August 2022-23","522","202223Q2","","RS","Main rate residential","110","RE","","A03","Residential £250,001 to 400,000","103","A99","",""
"75",810,"C","Number of transactions","101","0","","202223Apr","April 2022-23","511","202223Q1","","RS","Main rate residential","110","RE","","A03","Residential £250,001 to 400,000","103","A99","",""
"76",170,"C","Number of transactions","101","0","","202223Apr","April 2022-23","511","202223Q1","","RH","Higher rates residential","120","RE","","A03","Residential £250,001 to 400,000","103","A99","",""
"77",3,"D","Tax due (£ million)","102","0","","202223Apr","April 2022-23","511","202223Q1","","RH","Higher rates residential","120","RE","","A03","Residential £250,001 to 400,000","103","A99","",""
"78",53,"V","Property value taxed (£ million)","103","0","","202223Apr","April 2022-23","511","202223Q1","","RH","Higher rates residential","120","RE","","A03","Residential £250,001 to 400,000","103","A99","",""
