"","periodCode","periodDescription","transactionTypeCode","transactionTypeDescription","valueBinCode","valueBinDescription","measureCode","measureCodeDescription","dataValue","lowBin","highBin","baseYear"
"1750","YE20220331","Year ending 31 March 2022","NRP","Non-residential: premium element",16,"£375,001 to £400,000","V","Property value taxed (£ million)",44,375001,4e+05,2022
"1695","YE20220331","Year ending 31 March 2022","NRP","Non-residential: premium element",17,"£400,001 to £450,000","C","Number of transactions",130,400001,450000,2022
"1723","YE20220331","Year ending 31 March 2022","NRP","Non-residential: premium element",17,"£400,001 to £450,000","D","Tax due (£ million)",1.1,400001,450000,2022
"1751","YE20220331","Year ending 31 March 2022","NRP","Non-residential: premium element",17,"£400,001 to £450,000","V","Property value taxed (£ million)",56,400001,450000,2022
"1696","YE20220331","Year ending 31 March 2022","NRP","Non-residential: premium element",18,"£450,001 to £500,000","C","Number of transactions",120,450001,5e+05,2022
"1724","YE20220331","Year ending 31 March 2022","NRP","Non-residential: premium element",18,"£450,001 to £500,000","D","Tax due (£ million)",1.3,450001,5e+05,2022
"1752","YE20220331","Year ending 31 March 2022","NRP","Non-residential: premium element",18,"£450,001 to £500,000","V","Property value taxed (£ million)",60,450001,5e+05,2022
"1697","YE20220331","Year ending 31 March 2022","NRP","Non-residential: premium element",19,"£500,001 to £600,000","C","Number of transactions",180,500001,6e+05,2022
"1725","YE20220331","Year ending 31 March 2022","NRP","Non-residential: premium element",19,"£500,001 to £600,000","D","Tax due (£ million)",2.7,500001,6e+05,2022
"1753","YE20220331","Year ending 31 March 2022","NRP","Non-residential: premium element",19,"£500,001 to £600,000","V","Property value taxed (£ million)",102,500001,6e+05,2022
"1698","YE20220331","Year ending 31 March 2022","NRP","Non-residential: premium element",20,"£600,001 to £700,000","C","Number of transactions",140,600001,7e+05,2022
"1726","YE20220331","Year ending 31 March 2022","NRP","Non-residential: premium element",20,"£600,001 to £700,000","D","Tax due (£ million)",2.4,600001,7e+05,2022
"1754","YE20220331","Year ending 31 March 2022","NRP","Non-residential: premium element",20,"£600,001 to £700,000","V","Property value taxed (£ million)",90,600001,7e+05,2022
"1699","YE20220331","Year ending 31 March 2022","NRP","Non-residential: premium element",21,"£700,001 to £800,000","C","Number of transactions",110,700001,8e+05,2022
"1727","YE20220331","Year ending 31 March 2022","NRP","Non-residential: premium element",21,"£700,001 to £800,000","D","Tax due (£ million)",2.4,700001,8e+05,2022
"1755","YE20220331","Year ending 31 March 2022","NRP","Non-residential: premium element",21,"£700,001 to £800,000","V","Property value taxed (£ million)",80,700001,8e+05,2022
"1700","YE20220331","Year ending 31 March 2022","NRP","Non-residential: premium element",22,"£800,001 to £900,000","C","Number of transactions",70,800001,9e+05,2022
"1728","YE20220331","Year ending 31 March 2022","NRP","Non-residential: premium element",22,"£800,001 to £900,000","D","Tax due (£ million)",2,800001,9e+05,2022
"1756","YE20220331","Year ending 31 March 2022","NRP","Non-residential: premium element",22,"£800,001 to £900,000","V","Property value taxed (£ million)",64,800001,9e+05,2022
"1701","YE20220331","Year ending 31 March 2022","NRP","Non-residential: premium element",23,"£900,001 to £1,000,000","C","Number of transactions",70,900001,1e+06,2022
"1729","YE20220331","Year ending 31 March 2022","NRP","Non-residential: premium element",23,"£900,001 to £1,000,000","D","Tax due (£ million)",1.9,900001,1e+06,2022
"1757","YE20220331","Year ending 31 March 2022","NRP","Non-residential: premium element",23,"£900,001 to £1,000,000","V","Property value taxed (£ million)",63,900001,1e+06,2022
"1702","YE20220331","Year ending 31 March 2022","NRP","Non-residential: premium element",24,"£1,000,001 to £1,500,000","C","Number of transactions",140,1000001,1500000,2022
"1730","YE20220331","Year ending 31 March 2022","NRP","Non-residential: premium element",24,"£1,000,001 to £1,500,000","D","Tax due (£ million)",6.6,1000001,1500000,2022
"1758","YE20220331","Year ending 31 March 2022","NRP","Non-residential: premium element",24,"£1,000,001 to £1,500,000","V","Property value taxed (£ million)",169,1000001,1500000,2022
"1703","YE20220331","Year ending 31 March 2022","NRP","Non-residential: premium element",25,"£1,500,001 to £2,000,000","C","Number of transactions",70,1500001,2e+06,2022
"1731","YE20220331","Year ending 31 March 2022","NRP","Non-residential: premium element",25,"£1,500,001 to £2,000,000","D","Tax due (£ million)",4.2,1500001,2e+06,2022
"1759","YE20220331","Year ending 31 March 2022","NRP","Non-residential: premium element",25,"£1,500,001 to £2,000,000","V","Property value taxed (£ million)",115,1500001,2e+06,2022
"1704","YE20220331","Year ending 31 March 2022","NRP","Non-residential: premium element",26,"£2,000,001 to £5,000,000","C","Number of transactions",130,2000001,5e+06,2022
"1732","YE20220331","Year ending 31 March 2022","NRP","Non-residential: premium element",26,"£2,000,001 to £5,000,000","D","Tax due (£ million)",17.1,2000001,5e+06,2022
"1760","YE20220331","Year ending 31 March 2022","NRP","Non-residential: premium element",26,"£2,000,001 to £5,000,000","V","Property value taxed (£ million)",405,2000001,5e+06,2022
"1705","YE20220331","Year ending 31 March 2022","NRP","Non-residential: premium element",27,"£5,000,001 and over","C","Number of transactions",100,5000001,NA,2022
"1733","YE20220331","Year ending 31 March 2022","NRP","Non-residential: premium element",27,"£5,000,001 and over","D","Tax due (£ million)",77.8,5000001,NA,2022
"1761","YE20220331","Year ending 31 March 2022","NRP","Non-residential: premium element",27,"£5,000,001 and over","V","Property value taxed (£ million)",1629,5000001,NA,2022
"907","YE20220331","Year ending 31 March 2022","RE","Residential",0,"£0","C","Number of transactions",380,0,0,2022
"998","YE20220331","Year ending 31 March 2022","RE","Residential",0,"£0","D","Tax due (£ million)",0,0,0,2022
"1089","YE20220331","Year ending 31 March 2022","RE","Residential",0,"£0","V","Property value taxed (£ million)",0,0,0,2022
"908","YE20220331","Year ending 31 March 2022","RE","Residential",1,"£1 to £5,000","C","Number of transactions",110,1,5000,2022
"999","YE20220331","Year ending 31 March 2022","RE","Residential",1,"£1 to £5,000","D","Tax due (£ million)",NA,1,5000,2022
"1090","YE20220331","Year ending 31 March 2022","RE","Residential",1,"£1 to £5,000","V","Property value taxed (£ million)",0.25,1,5000,2022
"3","YE20220331","Year ending 31 March 2022","RE","Residential",4,"Â£5,001 to Â£20,000","C","Number of transactions",150,5001,20000,2022
"66","YE20220331","Year ending 31 March 2022","RE","Residential",4,"Â£5,001 to Â£20,000","D","Tax due (£ million)",NA,5001,20000,2022
"9","YE20220331","Year ending 31 March 2022","RE","Residential",4,"Â£5,001 to Â£20,000","V","Property value taxed (£ million)",1.5,5001,20000,2022
"912","YE20220331","Year ending 31 March 2022","RE","Residential",5,"£20,001 to £25,000","C","Number of transactions",50,20001,25000,2022
"1003","YE20220331","Year ending 31 March 2022","RE","Residential",5,"£20,001 to £25,000","D","Tax due (£ million)",0.025,20001,25000,2022
"1094","YE20220331","Year ending 31 March 2022","RE","Residential",5,"£20,001 to £25,000","V","Property value taxed (£ million)",1,20001,25000,2022
"913","YE20220331","Year ending 31 March 2022","RE","Residential",6,"£25,001 to £30,000","C","Number of transactions",60,25001,30000,2022
"1004","YE20220331","Year ending 31 March 2022","RE","Residential",6,"£25,001 to £30,000","D","Tax due (£ million)",0.025,25001,30000,2022
"1095","YE20220331","Year ending 31 March 2022","RE","Residential",6,"£25,001 to £30,000","V","Property value taxed (£ million)",2,25001,30000,2022
"914","YE20220331","Year ending 31 March 2022","RE","Residential",7,"£30,001 to £35,000","C","Number of transactions",50,30001,35000,2022
"1005","YE20220331","Year ending 31 March 2022","RE","Residential",7,"£30,001 to £35,000","D","Tax due (£ million)",0.025,30001,35000,2022
"1096","YE20220331","Year ending 31 March 2022","RE","Residential",7,"£30,001 to £35,000","V","Property value taxed (£ million)",2,30001,35000,2022
"915","YE20220331","Year ending 31 March 2022","RE","Residential",8,"£35,001 to £40,000","C","Number of transactions",130,35001,40000,2022
"1006","YE20220331","Year ending 31 March 2022","RE","Residential",8,"£35,001 to £40,000","D","Tax due (£ million)",0.1,35001,40000,2022
"1097","YE20220331","Year ending 31 March 2022","RE","Residential",8,"£35,001 to £40,000","V","Property value taxed (£ million)",5,35001,40000,2022
"916","YE20220331","Year ending 31 March 2022","RE","Residential",9,"£40,001 to £45,000","C","Number of transactions",280,40001,45000,2022
"1007","YE20220331","Year ending 31 March 2022","RE","Residential",9,"£40,001 to £45,000","D","Tax due (£ million)",0.1,40001,45000,2022
"1098","YE20220331","Year ending 31 March 2022","RE","Residential",9,"£40,001 to £45,000","V","Property value taxed (£ million)",12,40001,45000,2022
"917","YE20220331","Year ending 31 March 2022","RE","Residential",10,"£45,001 to £50,000","C","Number of transactions",370,45001,50000,2022
"1008","YE20220331","Year ending 31 March 2022","RE","Residential",10,"£45,001 to £50,000","D","Tax due (£ million)",0.3,45001,50000,2022
"1099","YE20220331","Year ending 31 March 2022","RE","Residential",10,"£45,001 to £50,000","V","Property value taxed (£ million)",18,45001,50000,2022
"918","YE20220331","Year ending 31 March 2022","RE","Residential",11,"£50,001 to £55,000","C","Number of transactions",400,50001,55000,2022
"1009","YE20220331","Year ending 31 March 2022","RE","Residential",11,"£50,001 to £55,000","D","Tax due (£ million)",0.4,50001,55000,2022
"1100","YE20220331","Year ending 31 March 2022","RE","Residential",11,"£50,001 to £55,000","V","Property value taxed (£ million)",21,50001,55000,2022
"919","YE20220331","Year ending 31 March 2022","RE","Residential",12,"£55,001 to £60,000","C","Number of transactions",540,55001,60000,2022
"1010","YE20220331","Year ending 31 March 2022","RE","Residential",12,"£55,001 to £60,000","D","Tax due (£ million)",0.6,55001,60000,2022
"1101","YE20220331","Year ending 31 March 2022","RE","Residential",12,"£55,001 to £60,000","V","Property value taxed (£ million)",32,55001,60000,2022
"920","YE20220331","Year ending 31 March 2022","RE","Residential",13,"£60,001 to £65,000","C","Number of transactions",590,60001,65000,2022
"1011","YE20220331","Year ending 31 March 2022","RE","Residential",13,"£60,001 to £65,000","D","Tax due (£ million)",0.7,60001,65000,2022
"1102","YE20220331","Year ending 31 March 2022","RE","Residential",13,"£60,001 to £65,000","V","Property value taxed (£ million)",37,60001,65000,2022
"921","YE20220331","Year ending 31 March 2022","RE","Residential",14,"£65,001 to £70,000","C","Number of transactions",720,65001,70000,2022
"1012","YE20220331","Year ending 31 March 2022","RE","Residential",14,"£65,001 to £70,000","D","Tax due (£ million)",1,65001,70000,2022
"1103","YE20220331","Year ending 31 March 2022","RE","Residential",14,"£65,001 to £70,000","V","Property value taxed (£ million)",49,65001,70000,2022
"922","YE20220331","Year ending 31 March 2022","RE","Residential",15,"£70,001 to £75,000","C","Number of transactions",780,70001,75000,2022
"1013","YE20220331","Year ending 31 March 2022","RE","Residential",15,"£70,001 to £75,000","D","Tax due (£ million)",1.1,70001,75000,2022
"1104","YE20220331","Year ending 31 March 2022","RE","Residential",15,"£70,001 to £75,000","V","Property value taxed (£ million)",57,70001,75000,2022
"923","YE20220331","Year ending 31 March 2022","RE","Residential",16,"£75,001 to £80,000","C","Number of transactions",960,75001,80000,2022
"1014","YE20220331","Year ending 31 March 2022","RE","Residential",16,"£75,001 to £80,000","D","Tax due (£ million)",1.3,75001,80000,2022
"1105","YE20220331","Year ending 31 March 2022","RE","Residential",16,"£75,001 to £80,000","V","Property value taxed (£ million)",76,75001,80000,2022
"924","YE20220331","Year ending 31 March 2022","RE","Residential",17,"£80,001 to £85,000","C","Number of transactions",950,80001,85000,2022
"1015","YE20220331","Year ending 31 March 2022","RE","Residential",17,"£80,001 to £85,000","D","Tax due (£ million)",1.4,80001,85000,2022
"1106","YE20220331","Year ending 31 March 2022","RE","Residential",17,"£80,001 to £85,000","V","Property value taxed (£ million)",79,80001,85000,2022
"925","YE20220331","Year ending 31 March 2022","RE","Residential",18,"£85,001 to £90,000","C","Number of transactions",1130,85001,90000,2022
"1016","YE20220331","Year ending 31 March 2022","RE","Residential",18,"£85,001 to £90,000","D","Tax due (£ million)",1.4,85001,90000,2022
"1107","YE20220331","Year ending 31 March 2022","RE","Residential",18,"£85,001 to £90,000","V","Property value taxed (£ million)",100,85001,90000,2022
"926","YE20220331","Year ending 31 March 2022","RE","Residential",19,"£90,001 to £95,000","C","Number of transactions",1020,90001,95000,2022
"1017","YE20220331","Year ending 31 March 2022","RE","Residential",19,"£90,001 to £95,000","D","Tax due (£ million)",1.3,90001,95000,2022
"1108","YE20220331","Year ending 31 March 2022","RE","Residential",19,"£90,001 to £95,000","V","Property value taxed (£ million)",96,90001,95000,2022
"927","YE20220331","Year ending 31 March 2022","RE","Residential",20,"£95,001 to £100,000","C","Number of transactions",1200,95001,1e+05,2022
"1018","YE20220331","Year ending 31 March 2022","RE","Residential",20,"£95,001 to £100,000","D","Tax due (£ million)",1.5,95001,1e+05,2022
"1109","YE20220331","Year ending 31 March 2022","RE","Residential",20,"£95,001 to £100,000","V","Property value taxed (£ million)",118,95001,1e+05,2022
"928","YE20220331","Year ending 31 March 2022","RE","Residential",21,"£100,001 to £105,000","C","Number of transactions",920,100001,105000,2022
"1019","YE20220331","Year ending 31 March 2022","RE","Residential",21,"£100,001 to £105,000","D","Tax due (£ million)",1.2,100001,105000,2022
"1110","YE20220331","Year ending 31 March 2022","RE","Residential",21,"£100,001 to £105,000","V","Property value taxed (£ million)",95,100001,105000,2022
"929","YE20220331","Year ending 31 March 2022","RE","Residential",22,"£105,001 to £110,000","C","Number of transactions",1160,105001,110000,2022
"1020","YE20220331","Year ending 31 March 2022","RE","Residential",22,"£105,001 to £110,000","D","Tax due (£ million)",1.5,105001,110000,2022
"1111","YE20220331","Year ending 31 March 2022","RE","Residential",22,"£105,001 to £110,000","V","Property value taxed (£ million)",126,105001,110000,2022
"930","YE20220331","Year ending 31 March 2022","RE","Residential",23,"£110,001 to £115,000","C","Number of transactions",1140,110001,115000,2022
"1021","YE20220331","Year ending 31 March 2022","RE","Residential",23,"£110,001 to £115,000","D","Tax due (£ million)",1.4,110001,115000,2022
"1112","YE20220331","Year ending 31 March 2022","RE","Residential",23,"£110,001 to £115,000","V","Property value taxed (£ million)",129,110001,115000,2022
"931","YE20220331","Year ending 31 March 2022","RE","Residential",24,"£115,001 to £120,000","C","Number of transactions",1520,115001,120000,2022
"1022","YE20220331","Year ending 31 March 2022","RE","Residential",24,"£115,001 to £120,000","D","Tax due (£ million)",2,115001,120000,2022
"1113","YE20220331","Year ending 31 March 2022","RE","Residential",24,"£115,001 to £120,000","V","Property value taxed (£ million)",180,115001,120000,2022
"932","YE20220331","Year ending 31 March 2022","RE","Residential",25,"£120,001 to £125,000","C","Number of transactions",1390,120001,125000,2022
"1023","YE20220331","Year ending 31 March 2022","RE","Residential",25,"£120,001 to £125,000","D","Tax due (£ million)",1.7,120001,125000,2022
"1114","YE20220331","Year ending 31 March 2022","RE","Residential",25,"£120,001 to £125,000","V","Property value taxed (£ million)",172,120001,125000,2022
"933","YE20220331","Year ending 31 March 2022","RE","Residential",26,"£125,001 to £130,000","C","Number of transactions",1620,125001,130000,2022
"1024","YE20220331","Year ending 31 March 2022","RE","Residential",26,"£125,001 to £130,000","D","Tax due (£ million)",2.2,125001,130000,2022
"1115","YE20220331","Year ending 31 March 2022","RE","Residential",26,"£125,001 to £130,000","V","Property value taxed (£ million)",209,125001,130000,2022
"934","YE20220331","Year ending 31 March 2022","RE","Residential",27,"£130,001 to £135,000","C","Number of transactions",1390,130001,135000,2022
"1025","YE20220331","Year ending 31 March 2022","RE","Residential",27,"£130,001 to £135,000","D","Tax due (£ million)",1.6,130001,135000,2022
"1116","YE20220331","Year ending 31 March 2022","RE","Residential",27,"£130,001 to £135,000","V","Property value taxed (£ million)",186,130001,135000,2022
"935","YE20220331","Year ending 31 March 2022","RE","Residential",28,"£135,001 to £140,000","C","Number of transactions",1550,135001,140000,2022
"1026","YE20220331","Year ending 31 March 2022","RE","Residential",28,"£135,001 to £140,000","D","Tax due (£ million)",1.9,135001,140000,2022
"1117","YE20220331","Year ending 31 March 2022","RE","Residential",28,"£135,001 to £140,000","V","Property value taxed (£ million)",215,135001,140000,2022
"936","YE20220331","Year ending 31 March 2022","RE","Residential",29,"£140,001 to £145,000","C","Number of transactions",1330,140001,145000,2022
"1027","YE20220331","Year ending 31 March 2022","RE","Residential",29,"£140,001 to £145,000","D","Tax due (£ million)",1.6,140001,145000,2022
"1118","YE20220331","Year ending 31 March 2022","RE","Residential",29,"£140,001 to £145,000","V","Property value taxed (£ million)",191,140001,145000,2022
"937","YE20220331","Year ending 31 March 2022","RE","Residential",30,"£145,001 to £150,000","C","Number of transactions",1620,145001,150000,2022
"1028","YE20220331","Year ending 31 March 2022","RE","Residential",30,"£145,001 to £150,000","D","Tax due (£ million)",2.1,145001,150000,2022
"1119","YE20220331","Year ending 31 March 2022","RE","Residential",30,"£145,001 to £150,000","V","Property value taxed (£ million)",241,145001,150000,2022
"938","YE20220331","Year ending 31 March 2022","RE","Residential",31,"£150,001 to £155,000","C","Number of transactions",1150,150001,155000,2022
"1029","YE20220331","Year ending 31 March 2022","RE","Residential",31,"£150,001 to £155,000","D","Tax due (£ million)",1.5,150001,155000,2022
"1120","YE20220331","Year ending 31 March 2022","RE","Residential",31,"£150,001 to £155,000","V","Property value taxed (£ million)",176,150001,155000,2022
"939","YE20220331","Year ending 31 March 2022","RE","Residential",32,"£155,001 to £160,000","C","Number of transactions",1530,155001,160000,2022
"1030","YE20220331","Year ending 31 March 2022","RE","Residential",32,"£155,001 to £160,000","D","Tax due (£ million)",2,155001,160000,2022
"1121","YE20220331","Year ending 31 March 2022","RE","Residential",32,"£155,001 to £160,000","V","Property value taxed (£ million)",243,155001,160000,2022
"940","YE20220331","Year ending 31 March 2022","RE","Residential",33,"£160,001 to £165,000","C","Number of transactions",1330,160001,165000,2022
"1031","YE20220331","Year ending 31 March 2022","RE","Residential",33,"£160,001 to £165,000","D","Tax due (£ million)",1.6,160001,165000,2022
"1122","YE20220331","Year ending 31 March 2022","RE","Residential",33,"£160,001 to £165,000","V","Property value taxed (£ million)",218,160001,165000,2022
"941","YE20220331","Year ending 31 March 2022","RE","Residential",34,"£165,001 to £170,000","C","Number of transactions",1420,165001,170000,2022
"1032","YE20220331","Year ending 31 March 2022","RE","Residential",34,"£165,001 to £170,000","D","Tax due (£ million)",1.7,165001,170000,2022
"1123","YE20220331","Year ending 31 March 2022","RE","Residential",34,"£165,001 to £170,000","V","Property value taxed (£ million)",239,165001,170000,2022
"942","YE20220331","Year ending 31 March 2022","RE","Residential",35,"£170,001 to £175,000","C","Number of transactions",1270,170001,175000,2022
"1033","YE20220331","Year ending 31 March 2022","RE","Residential",35,"£170,001 to £175,000","D","Tax due (£ million)",1.6,170001,175000,2022
"1124","YE20220331","Year ending 31 March 2022","RE","Residential",35,"£170,001 to £175,000","V","Property value taxed (£ million)",222,170001,175000,2022
"943","YE20220331","Year ending 31 March 2022","RE","Residential",36,"£175,001 to £180,000","C","Number of transactions",1420,175001,180000,2022
"1034","YE20220331","Year ending 31 March 2022","RE","Residential",36,"£175,001 to £180,000","D","Tax due (£ million)",1.9,175001,180000,2022
"1125","YE20220331","Year ending 31 March 2022","RE","Residential",36,"£175,001 to £180,000","V","Property value taxed (£ million)",253,175001,180000,2022
"944","YE20220331","Year ending 31 March 2022","RE","Residential",37,"£180,001 to £185,000","C","Number of transactions",1150,180001,185000,2022
"1035","YE20220331","Year ending 31 March 2022","RE","Residential",37,"£180,001 to £185,000","D","Tax due (£ million)",1.5,180001,185000,2022
"1126","YE20220331","Year ending 31 March 2022","RE","Residential",37,"£180,001 to £185,000","V","Property value taxed (£ million)",212,180001,185000,2022
"945","YE20220331","Year ending 31 March 2022","RE","Residential",38,"£185,001 to £190,000","C","Number of transactions",1200,185001,190000,2022
"1036","YE20220331","Year ending 31 March 2022","RE","Residential",38,"£185,001 to £190,000","D","Tax due (£ million)",1.8,185001,190000,2022
"1127","YE20220331","Year ending 31 March 2022","RE","Residential",38,"£185,001 to £190,000","V","Property value taxed (£ million)",227,185001,190000,2022
"946","YE20220331","Year ending 31 March 2022","RE","Residential",39,"£190,001 to £195,000","C","Number of transactions",940,190001,195000,2022
"1037","YE20220331","Year ending 31 March 2022","RE","Residential",39,"£190,001 to £195,000","D","Tax due (£ million)",1.6,190001,195000,2022
"1128","YE20220331","Year ending 31 March 2022","RE","Residential",39,"£190,001 to £195,000","V","Property value taxed (£ million)",183,190001,195000,2022
"947","YE20220331","Year ending 31 March 2022","RE","Residential",40,"£195,001 to £200,000","C","Number of transactions",1190,195001,2e+05,2022
"1038","YE20220331","Year ending 31 March 2022","RE","Residential",40,"£195,001 to £200,000","D","Tax due (£ million)",2.1,195001,2e+05,2022
"1129","YE20220331","Year ending 31 March 2022","RE","Residential",40,"£195,001 to £200,000","V","Property value taxed (£ million)",236,195001,2e+05,2022
"948","YE20220331","Year ending 31 March 2022","RE","Residential",41,"£200,001 to £205,000","C","Number of transactions",650,200001,205000,2022
"1039","YE20220331","Year ending 31 March 2022","RE","Residential",41,"£200,001 to £205,000","D","Tax due (£ million)",1.2,200001,205000,2022
"1130","YE20220331","Year ending 31 March 2022","RE","Residential",41,"£200,001 to £205,000","V","Property value taxed (£ million)",133,200001,205000,2022
"949","YE20220331","Year ending 31 March 2022","RE","Residential",42,"£205,001 to £210,000","C","Number of transactions",930,205001,210000,2022
"1040","YE20220331","Year ending 31 March 2022","RE","Residential",42,"£205,001 to £210,000","D","Tax due (£ million)",1.8,205001,210000,2022
"1131","YE20220331","Year ending 31 March 2022","RE","Residential",42,"£205,001 to £210,000","V","Property value taxed (£ million)",194,205001,210000,2022
"950","YE20220331","Year ending 31 March 2022","RE","Residential",43,"£210,001 to £215,000","C","Number of transactions",800,210001,215000,2022
"1041","YE20220331","Year ending 31 March 2022","RE","Residential",43,"£210,001 to £215,000","D","Tax due (£ million)",1.8,210001,215000,2022
"1132","YE20220331","Year ending 31 March 2022","RE","Residential",43,"£210,001 to £215,000","V","Property value taxed (£ million)",171,210001,215000,2022
"951","YE20220331","Year ending 31 March 2022","RE","Residential",44,"£215,001 to £220,000","C","Number of transactions",930,215001,220000,2022
"1042","YE20220331","Year ending 31 March 2022","RE","Residential",44,"£215,001 to £220,000","D","Tax due (£ million)",2.3,215001,220000,2022
"1133","YE20220331","Year ending 31 March 2022","RE","Residential",44,"£215,001 to £220,000","V","Property value taxed (£ million)",203,215001,220000,2022
"952","YE20220331","Year ending 31 March 2022","RE","Residential",45,"£220,001 to £225,000","C","Number of transactions",760,220001,225000,2022
"1043","YE20220331","Year ending 31 March 2022","RE","Residential",45,"£220,001 to £225,000","D","Tax due (£ million)",2,220001,225000,2022
"1134","YE20220331","Year ending 31 March 2022","RE","Residential",45,"£220,001 to £225,000","V","Property value taxed (£ million)",171,220001,225000,2022
"953","YE20220331","Year ending 31 March 2022","RE","Residential",46,"£225,001 to £230,000","C","Number of transactions",910,225001,230000,2022
"1044","YE20220331","Year ending 31 March 2022","RE","Residential",46,"£225,001 to £230,000","D","Tax due (£ million)",2.2,225001,230000,2022
"1135","YE20220331","Year ending 31 March 2022","RE","Residential",46,"£225,001 to £230,000","V","Property value taxed (£ million)",208,225001,230000,2022
"954","YE20220331","Year ending 31 March 2022","RE","Residential",47,"£230,001 to £235,000","C","Number of transactions",730,230001,235000,2022
"1045","YE20220331","Year ending 31 March 2022","RE","Residential",47,"£230,001 to £235,000","D","Tax due (£ million)",2,230001,235000,2022
"1136","YE20220331","Year ending 31 March 2022","RE","Residential",47,"£230,001 to £235,000","V","Property value taxed (£ million)",171,230001,235000,2022
"955","YE20220331","Year ending 31 March 2022","RE","Residential",48,"£235,001 to £240,000","C","Number of transactions",870,235001,240000,2022
"1046","YE20220331","Year ending 31 March 2022","RE","Residential",48,"£235,001 to £240,000","D","Tax due (£ million)",2.6,235001,240000,2022
"1137","YE20220331","Year ending 31 March 2022","RE","Residential",48,"£235,001 to £240,000","V","Property value taxed (£ million)",208,235001,240000,2022
"956","YE20220331","Year ending 31 March 2022","RE","Residential",49,"£240,001 to £245,000","C","Number of transactions",710,240001,245000,2022
"1047","YE20220331","Year ending 31 March 2022","RE","Residential",49,"£240,001 to £245,000","D","Tax due (£ million)",2.2,240001,245000,2022
"1138","YE20220331","Year ending 31 March 2022","RE","Residential",49,"£240,001 to £245,000","V","Property value taxed (£ million)",174,240001,245000,2022
"957","YE20220331","Year ending 31 March 2022","RE","Residential",50,"£245,001 to £250,000","C","Number of transactions",1100,245001,250000,2022
"1048","YE20220331","Year ending 31 March 2022","RE","Residential",50,"£245,001 to £250,000","D","Tax due (£ million)",3.6,245001,250000,2022
"1139","YE20220331","Year ending 31 March 2022","RE","Residential",50,"£245,001 to £250,000","V","Property value taxed (£ million)",274,245001,250000,2022
"958","YE20220331","Year ending 31 March 2022","RE","Residential",51,"£250,001 to £255,000","C","Number of transactions",500,250001,255000,2022
"1049","YE20220331","Year ending 31 March 2022","RE","Residential",51,"£250,001 to £255,000","D","Tax due (£ million)",1.9,250001,255000,2022
"1140","YE20220331","Year ending 31 March 2022","RE","Residential",51,"£250,001 to £255,000","V","Property value taxed (£ million)",126,250001,255000,2022
"959","YE20220331","Year ending 31 March 2022","RE","Residential",52,"£255,001 to £260,000","C","Number of transactions",710,255001,260000,2022
"1050","YE20220331","Year ending 31 March 2022","RE","Residential",52,"£255,001 to £260,000","D","Tax due (£ million)",2.5,255001,260000,2022
"1141","YE20220331","Year ending 31 March 2022","RE","Residential",52,"£255,001 to £260,000","V","Property value taxed (£ million)",183,255001,260000,2022
"960","YE20220331","Year ending 31 March 2022","RE","Residential",53,"£260,001 to £265,000","C","Number of transactions",620,260001,265000,2022
"1051","YE20220331","Year ending 31 March 2022","RE","Residential",53,"£260,001 to £265,000","D","Tax due (£ million)",2.5,260001,265000,2022
"1142","YE20220331","Year ending 31 March 2022","RE","Residential",53,"£260,001 to £265,000","V","Property value taxed (£ million)",164,260001,265000,2022
"961","YE20220331","Year ending 31 March 2022","RE","Residential",54,"£265,001 to £270,000","C","Number of transactions",630,265001,270000,2022
"1052","YE20220331","Year ending 31 March 2022","RE","Residential",54,"£265,001 to £270,000","D","Tax due (£ million)",2.8,265001,270000,2022
"1143","YE20220331","Year ending 31 March 2022","RE","Residential",54,"£265,001 to £270,000","V","Property value taxed (£ million)",170,265001,270000,2022
"962","YE20220331","Year ending 31 March 2022","RE","Residential",55,"£270,001 to £275,000","C","Number of transactions",610,270001,275000,2022
"1053","YE20220331","Year ending 31 March 2022","RE","Residential",55,"£270,001 to £275,000","D","Tax due (£ million)",2.6,270001,275000,2022
"1144","YE20220331","Year ending 31 March 2022","RE","Residential",55,"£270,001 to £275,000","V","Property value taxed (£ million)",168,270001,275000,2022
"963","YE20220331","Year ending 31 March 2022","RE","Residential",56,"£275,001 to £280,000","C","Number of transactions",650,275001,280000,2022
"1054","YE20220331","Year ending 31 March 2022","RE","Residential",56,"£275,001 to £280,000","D","Tax due (£ million)",3,275001,280000,2022
"1145","YE20220331","Year ending 31 March 2022","RE","Residential",56,"£275,001 to £280,000","V","Property value taxed (£ million)",181,275001,280000,2022
"964","YE20220331","Year ending 31 March 2022","RE","Residential",57,"£280,001 to £285,000","C","Number of transactions",600,280001,285000,2022
"1055","YE20220331","Year ending 31 March 2022","RE","Residential",57,"£280,001 to £285,000","D","Tax due (£ million)",2.8,280001,285000,2022
"1146","YE20220331","Year ending 31 March 2022","RE","Residential",57,"£280,001 to £285,000","V","Property value taxed (£ million)",169,280001,285000,2022
"965","YE20220331","Year ending 31 March 2022","RE","Residential",58,"£285,001 to £290,000","C","Number of transactions",600,285001,290000,2022
"1056","YE20220331","Year ending 31 March 2022","RE","Residential",58,"£285,001 to £290,000","D","Tax due (£ million)",3.1,285001,290000,2022
"1147","YE20220331","Year ending 31 March 2022","RE","Residential",58,"£285,001 to £290,000","V","Property value taxed (£ million)",174,285001,290000,2022
