"","periodCode","periodDescription","transactionTypeCode","transactionTypeDescription","valueBinCode","valueBinDescription","measureCode","measureCodeDescription","dataValue","lowBin","highBin","baseYear"
"12571","YE20190331","Year ending 31 March 2019","NRP","Non-residential: premium element",21,"£700,001 to £800,000","C","Number of transactions",90,700001,8e+05,2019
"12599","YE20190331","Year ending 31 March 2019","NRP","Non-residential: premium element",21,"£700,001 to £800,000","D","Tax due (£ million)",1.9,700001,8e+05,2019
"12627","YE20190331","Year ending 31 March 2019","NRP","Non-residential: premium element",21,"£700,001 to £800,000","V","Property value taxed (£ million)",66,700001,8e+05,2019
"12572","YE20190331","Year ending 31 March 2019","NRP","Non-residential: premium element",22,"£800,001 to £900,000","C","Number of transactions",50,800001,9e+05,2019
"12600","YE20190331","Year ending 31 March 2019","NRP","Non-residential: premium element",22,"£800,001 to £900,000","D","Tax due (£ million)",1.3,800001,9e+05,2019
"12628","YE20190331","Year ending 31 March 2019","NRP","Non-residential: premium element",22,"£800,001 to £900,000","V","Property value taxed (£ million)",45,800001,9e+05,2019
"12573","YE20190331","Year ending 31 March 2019","NRP","Non-residential: premium element",23,"£900,001 to £1,000,000","C","Number of transactions",40,900001,1e+06,2019
"12601","YE20190331","Year ending 31 March 2019","NRP","Non-residential: premium element",23,"£900,001 to £1,000,000","D","Tax due (£ million)",1.1,900001,1e+06,2019
"12629","YE20190331","Year ending 31 March 2019","NRP","Non-residential: premium element",23,"£900,001 to £1,000,000","V","Property value taxed (£ million)",37,900001,1e+06,2019
"12574","YE20190331","Year ending 31 March 2019","NRP","Non-residential: premium element",24,"£1,000,001 to £1,500,000","C","Number of transactions",100,1000001,1500000,2019
"12602","YE20190331","Year ending 31 March 2019","NRP","Non-residential: premium element",24,"£1,000,001 to £1,500,000","D","Tax due (£ million)",4.1,1000001,1500000,2019
"12630","YE20190331","Year ending 31 March 2019","NRP","Non-residential: premium element",24,"£1,000,001 to £1,500,000","V","Property value taxed (£ million)",122,1000001,1500000,2019
"12575","YE20190331","Year ending 31 March 2019","NRP","Non-residential: premium element",25,"£1,500,001 to £2,000,000","C","Number of transactions",60,1500001,2e+06,2019
"12603","YE20190331","Year ending 31 March 2019","NRP","Non-residential: premium element",25,"£1,500,001 to £2,000,000","D","Tax due (£ million)",3.8,1500001,2e+06,2019
"12631","YE20190331","Year ending 31 March 2019","NRP","Non-residential: premium element",25,"£1,500,001 to £2,000,000","V","Property value taxed (£ million)",111,1500001,2e+06,2019
"12576","YE20190331","Year ending 31 March 2019","NRP","Non-residential: premium element",26,"£2,000,001 to £5,000,000","C","Number of transactions",120,2000001,5e+06,2019
"12604","YE20190331","Year ending 31 March 2019","NRP","Non-residential: premium element",26,"£2,000,001 to £5,000,000","D","Tax due (£ million)",14.7,2000001,5e+06,2019
"12632","YE20190331","Year ending 31 March 2019","NRP","Non-residential: premium element",26,"£2,000,001 to £5,000,000","V","Property value taxed (£ million)",394,2000001,5e+06,2019
"12577","YE20190331","Year ending 31 March 2019","NRP","Non-residential: premium element",27,"£5,000,001 and over","C","Number of transactions",80,5000001,NA,2019
"12605","YE20190331","Year ending 31 March 2019","NRP","Non-residential: premium element",27,"£5,000,001 and over","D","Tax due (£ million)",27.1,5000001,NA,2019
"12633","YE20190331","Year ending 31 March 2019","NRP","Non-residential: premium element",27,"£5,000,001 and over","V","Property value taxed (£ million)",1120,5000001,NA,2019
"11779","YE20190331","Year ending 31 March 2019","RE","Residential",0,"£0","C","Number of transactions",270,0,0,2019
"11870","YE20190331","Year ending 31 March 2019","RE","Residential",0,"£0","D","Tax due (£ million)",0.025,0,0,2019
"11961","YE20190331","Year ending 31 March 2019","RE","Residential",0,"£0","V","Property value taxed (£ million)",0,0,0,2019
"11780","YE20190331","Year ending 31 March 2019","RE","Residential",1,"£1 to £5,000","C","Number of transactions",150,1,5000,2019
"11871","YE20190331","Year ending 31 March 2019","RE","Residential",1,"£1 to £5,000","D","Tax due (£ million)",0.025,1,5000,2019
"11962","YE20190331","Year ending 31 March 2019","RE","Residential",1,"£1 to £5,000","V","Property value taxed (£ million)",0.25,1,5000,2019
"30","YE20190331","Year ending 31 March 2019","RE","Residential",4,"Â£5,001 to Â£20,000","C","Number of transactions",110,5001,20000,2019
"33","YE20190331","Year ending 31 March 2019","RE","Residential",4,"Â£5,001 to Â£20,000","D","Tax due (£ million)",NA,5001,20000,2019
"36","YE20190331","Year ending 31 March 2019","RE","Residential",4,"Â£5,001 to Â£20,000","V","Property value taxed (£ million)",1.5,5001,20000,2019
"11784","YE20190331","Year ending 31 March 2019","RE","Residential",5,"£20,001 to £25,000","C","Number of transactions",40,20001,25000,2019
"11875","YE20190331","Year ending 31 March 2019","RE","Residential",5,"£20,001 to £25,000","D","Tax due (£ million)",NA,20001,25000,2019
"11966","YE20190331","Year ending 31 March 2019","RE","Residential",5,"£20,001 to £25,000","V","Property value taxed (£ million)",1,20001,25000,2019
"11785","YE20190331","Year ending 31 March 2019","RE","Residential",6,"£25,001 to £30,000","C","Number of transactions",50,25001,30000,2019
"11876","YE20190331","Year ending 31 March 2019","RE","Residential",6,"£25,001 to £30,000","D","Tax due (£ million)",NA,25001,30000,2019
"11967","YE20190331","Year ending 31 March 2019","RE","Residential",6,"£25,001 to £30,000","V","Property value taxed (£ million)",1,25001,30000,2019
"11786","YE20190331","Year ending 31 March 2019","RE","Residential",7,"£30,001 to £35,000","C","Number of transactions",80,30001,35000,2019
"11877","YE20190331","Year ending 31 March 2019","RE","Residential",7,"£30,001 to £35,000","D","Tax due (£ million)",0.025,30001,35000,2019
"11968","YE20190331","Year ending 31 March 2019","RE","Residential",7,"£30,001 to £35,000","V","Property value taxed (£ million)",3,30001,35000,2019
"11787","YE20190331","Year ending 31 March 2019","RE","Residential",8,"£35,001 to £40,000","C","Number of transactions",200,35001,40000,2019
"11878","YE20190331","Year ending 31 March 2019","RE","Residential",8,"£35,001 to £40,000","D","Tax due (£ million)",0.025,35001,40000,2019
"11969","YE20190331","Year ending 31 March 2019","RE","Residential",8,"£35,001 to £40,000","V","Property value taxed (£ million)",8,35001,40000,2019
"11788","YE20190331","Year ending 31 March 2019","RE","Residential",9,"£40,001 to £45,000","C","Number of transactions",540,40001,45000,2019
"11879","YE20190331","Year ending 31 March 2019","RE","Residential",9,"£40,001 to £45,000","D","Tax due (£ million)",0.3,40001,45000,2019
"11970","YE20190331","Year ending 31 March 2019","RE","Residential",9,"£40,001 to £45,000","V","Property value taxed (£ million)",23,40001,45000,2019
"11789","YE20190331","Year ending 31 March 2019","RE","Residential",10,"£45,001 to £50,000","C","Number of transactions",690,45001,50000,2019
"11880","YE20190331","Year ending 31 March 2019","RE","Residential",10,"£45,001 to £50,000","D","Tax due (£ million)",0.4,45001,50000,2019
"11971","YE20190331","Year ending 31 March 2019","RE","Residential",10,"£45,001 to £50,000","V","Property value taxed (£ million)",33,45001,50000,2019
"11790","YE20190331","Year ending 31 March 2019","RE","Residential",11,"£50,001 to £55,000","C","Number of transactions",650,50001,55000,2019
"11881","YE20190331","Year ending 31 March 2019","RE","Residential",11,"£50,001 to £55,000","D","Tax due (£ million)",0.5,50001,55000,2019
"11972","YE20190331","Year ending 31 March 2019","RE","Residential",11,"£50,001 to £55,000","V","Property value taxed (£ million)",35,50001,55000,2019
"11791","YE20190331","Year ending 31 March 2019","RE","Residential",12,"£55,001 to £60,000","C","Number of transactions",880,55001,60000,2019
"11882","YE20190331","Year ending 31 March 2019","RE","Residential",12,"£55,001 to £60,000","D","Tax due (£ million)",0.7,55001,60000,2019
"11973","YE20190331","Year ending 31 March 2019","RE","Residential",12,"£55,001 to £60,000","V","Property value taxed (£ million)",51,55001,60000,2019
"11792","YE20190331","Year ending 31 March 2019","RE","Residential",13,"£60,001 to £65,000","C","Number of transactions",920,60001,65000,2019
"11883","YE20190331","Year ending 31 March 2019","RE","Residential",13,"£60,001 to £65,000","D","Tax due (£ million)",0.7,60001,65000,2019
"11974","YE20190331","Year ending 31 March 2019","RE","Residential",13,"£60,001 to £65,000","V","Property value taxed (£ million)",58,60001,65000,2019
"11793","YE20190331","Year ending 31 March 2019","RE","Residential",14,"£65,001 to £70,000","C","Number of transactions",1040,65001,70000,2019
"11884","YE20190331","Year ending 31 March 2019","RE","Residential",14,"£65,001 to £70,000","D","Tax due (£ million)",0.8,65001,70000,2019
"11975","YE20190331","Year ending 31 March 2019","RE","Residential",14,"£65,001 to £70,000","V","Property value taxed (£ million)",71,65001,70000,2019
"11794","YE20190331","Year ending 31 March 2019","RE","Residential",15,"£70,001 to £75,000","C","Number of transactions",1110,70001,75000,2019
"11885","YE20190331","Year ending 31 March 2019","RE","Residential",15,"£70,001 to £75,000","D","Tax due (£ million)",0.9,70001,75000,2019
"11976","YE20190331","Year ending 31 March 2019","RE","Residential",15,"£70,001 to £75,000","V","Property value taxed (£ million)",82,70001,75000,2019
"11795","YE20190331","Year ending 31 March 2019","RE","Residential",16,"£75,001 to £80,000","C","Number of transactions",1260,75001,80000,2019
"11886","YE20190331","Year ending 31 March 2019","RE","Residential",16,"£75,001 to £80,000","D","Tax due (£ million)",1,75001,80000,2019
"11977","YE20190331","Year ending 31 March 2019","RE","Residential",16,"£75,001 to £80,000","V","Property value taxed (£ million)",99,75001,80000,2019
"11796","YE20190331","Year ending 31 March 2019","RE","Residential",17,"£80,001 to £85,000","C","Number of transactions",1320,80001,85000,2019
"11887","YE20190331","Year ending 31 March 2019","RE","Residential",17,"£80,001 to £85,000","D","Tax due (£ million)",1,80001,85000,2019
"11978","YE20190331","Year ending 31 March 2019","RE","Residential",17,"£80,001 to £85,000","V","Property value taxed (£ million)",110,80001,85000,2019
"11797","YE20190331","Year ending 31 March 2019","RE","Residential",18,"£85,001 to £90,000","C","Number of transactions",1390,85001,90000,2019
"11888","YE20190331","Year ending 31 March 2019","RE","Residential",18,"£85,001 to £90,000","D","Tax due (£ million)",1,85001,90000,2019
"11979","YE20190331","Year ending 31 March 2019","RE","Residential",18,"£85,001 to £90,000","V","Property value taxed (£ million)",123,85001,90000,2019
"11798","YE20190331","Year ending 31 March 2019","RE","Residential",19,"£90,001 to £95,000","C","Number of transactions",1280,90001,95000,2019
"11889","YE20190331","Year ending 31 March 2019","RE","Residential",19,"£90,001 to £95,000","D","Tax due (£ million)",1,90001,95000,2019
"11980","YE20190331","Year ending 31 March 2019","RE","Residential",19,"£90,001 to £95,000","V","Property value taxed (£ million)",119,90001,95000,2019
"11799","YE20190331","Year ending 31 March 2019","RE","Residential",20,"£95,001 to £100,000","C","Number of transactions",1390,95001,1e+05,2019
